# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
12000000 30 3640
  11 1.18633 120 1.13973
  12 2.18633 123 1.18351
  13 3.18633 135 1.32703
  14 4.18633 113 1.10349
  15 5.18633 146 1.37571
  16 6.18633 105 0.981152
  17 7.18633 131 1.18352
  18 8.18633 119 1.14225
  19 9.18633 147 1.51543
  20 10.1863 114 1.15217
  21 11.1863 118 1.21948
  22 12.1863 114 1.1048
  23 13.1863 120 1.17725
  24 14.1863 138 1.33444
  25 15.1863 123 1.30321
  26 16.1863 109 1.1434
  27 17.1863 136 1.3694
  28 18.1863 107 1.09604
  29 19.1863 132 1.16102
  30 20.1863 87 0.761498
12280000 30 3640
  1 -8.81367 83 0.813477
  2 -7.81367 147 1.38557
  3 -6.81367 126 1.27093
  4 -5.81367 126 1.25974
  5 -4.81367 125 1.16042
  6 -3.81367 134 1.3791
  7 -2.81367 130 1.29213
  8 -1.81367 128 1.18647
  9 -0.813671 112 1.10819
  10 0.186329 110 1.04478
  11 1.18633 120 1.24737
  12 2.18633 122 1.08595
  13 3.18633 125 1.29839
  14 4.18633 131 1.27972
  15 5.18633 136 1.28726
  16 6.18633 123 1.11187
  17 7.18633 119 1.1231
  18 8.18633 128 1.16175
  19 9.18633 140 1.49358
  20 10.1863 120 1.20755
  21 11.1863 111 1.11299
  22 12.1863 116 1.14421
  23 13.1863 111 1.02736
  24 14.1863 134 1.35567
  25 15.1863 120 1.24117
  26 16.1863 113 1.12554
  27 17.1863 137 1.46497
  28 18.1863 106 0.953993
  29 19.1863 122 1.1442
  30 20.1863 85 0.764878
12290000 30 3640
  1 -8.81367 115 1.14287
