# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
14805000 2.06782
14810000 1.44471
14815000 1.82546
14820000 1.61225
14825000 1.49803
14830000 1.64147
14835000 1.60605
14840000 2.04474
14845000 1.61002
14850000 1.47395
14855000 1.63939
14860000 1.8458
14865000 1.89359
14870000 1.82662
14875000 1.51392
14880000 2.10075
14885000 1.93584
14890000 1.94594
14895000 2.0983
14900000 1.62915
14905000 2.29957
14910000 2.2598
14915000 1.82321
14920000 1.98379
14925000 1.85262
14930000 2.0153
14935000 1.76348
14940000 1.7784
14945000 1.89297
14950000 1.73231
14955000 1.86591
14960000 1.63503
14965000 2.1716
14970000 1.92648
14975000 1.70874
14980000 1.67699
14985000 1.77438
14990000 1.87695
14995000 1.91671
15000000 1.64931
15005000 1.96153
15010000 1.40045
15015000 1.92526
15020000 2.21547
15025000 2.10074
15030000 1.86104
15035000 2.30916
15040000 1.93473
15045000 1.8759
15050000 1.77511
15055000 1.61097
15060000 2.00684
15065000 2.49758
15070000 1.6137
15075000 1.79406
15080000 2.10771
15085000 1.5991
15090000 2.19924
15095000 1.96888
15100000 1.84973
15105000 1.86606
15110000 1.93413
15115000 2.22642
15120000 2.52735
15125000 1.62575
15130000 2.01203
15135000 1.87877
15140000 1.76342
15145000 1.85963
15150000 2.12804
15155000 1.50416
15160000 1.90936
15165000 1.85543
15170000 1.88973
15175000 1.9054
15180000 1.59711
15185000 1.86804
15190000 2.03642
15195000 1.93431
15200000 2.22987
15205000 1.69798
15210000 1.7268
15215000 1.70352
15220000 1.94793
15225000 1.98943
15230000 2.16477
15235000 1.94193
15240000 1.75683
15245000 2.15
15250000 2.04045
15255000 1.86453
15260000 1.88019
15265000 2.16791
15270000 1.58215
15275000 2.04422
15280000 1.79506
15285000 2.17865
15290000 2.03528
15295000 2.21589
15300000 2.27819
15305000 2.24036
15310000 1.72853
15315000 1.64107
15320000 2.32034
15325000 1.8664
15330000 2.56222
15335000 1.92173
15340000 2.30288
15345000 1.77895
15350000 2.59334
15355000 1.94575
15360000 2.16253
15365000 2.09134
15370000 1.73386
15375000 1.87844
15380000 1.76068
15385000 2.12653
15390000 1.91716
15395000 1.87267
15400000 1.67163
15405000 1.99727
15410000 1.69697
15415000 1.60322
15420000 1.91118
15425000 1.60988
15430000 1.93402
15435000 2.14257
15440000 2.30151
15445000 1.58292
15450000 1.94943
15455000 2.18031
15460000 1.66322
15465000 2.27313
15470000 1.72808
15475000 1.41025
15480000 1.91291
15485000 1.62727
15490000 2.01822
15495000 1.83302
15500000 1.64817
15505000 1.51353
15510000 1.82245
15515000 1.93792
15520000 1.37554
15525000 1.91115
15530000 1.89124
15535000 1.94831
15540000 2.17216
15545000 2.06055
15550000 1.77332
15555000 1.80972
15560000 1.93777
15565000 1.5891
15570000 2.40565
15575000 1.51051
15580000 1.77926
15585000 1.47757
15590000 2.125
15595000 1.84631
15600000 1.76102
15605000 1.78492
15610000 1.87845
15615000 2.05568
15620000 1.653
15625000 1.66592
15630000 2.09925
15635000 2.02341
15640000 2.0753
15645000 2.00549
15650000 1.84836
15655000 1.72288
15660000 2.05265
15665000 1.8998
15670000 1.93261
15675000 2.1386
15680000 1.68373
15685000 1.45925
15690000 1.50448
15695000 2.03261
15700000 1.8041
15705000 1.69744
15710000 1.81157
15715000 2.33181
15720000 1.68517
15725000 1.92129
15730000 1.67982
15735000 2.13211
15740000 1.56066
15745000 1.99299
15750000 1.9321
15755000 1.7554
15760000 1.85808
15765000 1.99412
15770000 1.65643
15775000 1.81947
15780000 1.82763
15785000 2.12588
15790000 2.01986
15795000 1.68423
15800000 1.83262
15805000 1.92613
15810000 1.88772
15815000 1.7809
15820000 1.88877
15825000 2.25126
15830000 1.84709
15835000 1.626
15840000 1.69562
15845000 1.82681
15850000 1.59943
15855000 1.97909
15860000 2.18899
15865000 1.46874
15870000 1.51379
15875000 1.89396
15880000 1.68195
15885000 2.10167
15890000 2.11785
15895000 2.02226
15900000 1.71195
15905000 1.91354
15910000 1.62438
15915000 1.84373
15920000 1.37262
15925000 1.71081
15930000 1.85115
15935000 1.77276
15940000 1.95297
15945000 2.06792
15950000 2.0426
15955000 1.49068
15960000 1.69799
15965000 2.09339
15970000 1.61018
15975000 1.65339
15980000 2.16238
15985000 1.55915
15990000 1.52542
15995000 1.53106
16000000 1.75156
16005000 1.92987
16010000 2.04774
16015000 1.64048
16020000 1.84765
16025000 1.58787
16030000 1.79169
16035000 1.78863
16040000 1.66053
16045000 1.67066
16050000 1.67467
16055000 1.58765
16060000 1.51427
16065000 1.59273
16070000 1.61075
16075000 1.74131
16080000 1.76449
16085000 1.60693
16090000 1.49451
16095000 1.53562
16100000 1.6619
16105000 1.47247
16110000 1.6544
16115000 1.64021
16120000 1.70399
16125000 1.6264
16130000 2.07803
16135000 1.70776
16140000 2.10321
16145000 1.79548
16150000 2.37365
16155000 1.86156
16160000 2.1975
16165000 1.83295
16170000 1.78423
16175000 1.86139
16180000 1.6231
16185000 1.87548
16190000 1.94039
16195000 1.99559
16200000 2.00637
16205000 1.80436
16210000 1.63062
16215000 1.66389
16220000 1.92294
16225000 1.57215
16230000 1.58761
16235000 1.57406
16240000 1.64128
16245000 2.10835
16250000 1.86277
16255000 1.78527
16260000 1.55191
16265000 1.91911
16270000 2.06601
16275000 1.71672
16280000 1.92589
16285000 1.75124
16290000 2.06158
16295000 1.63255
16300000 1.65542
16305000 1.59674
16310000 1.69319
16315000 1.57842
16320000 1.59213
16325000 2.01104
16330000 1.86107
16335000 1.81937
16340000 1.90585
16345000 2.07072
16350000 1.86343
16355000 1.66401
16360000 1.52501
16365000 1.83795
16370000 2.43122
16375000 1.77411
16380000 2.05964
16385000 2.1319
16390000 1.52458
16395000 2.12561
16400000 2.04541
16405000 1.85779
16410000 1.96417
16415000 1.99695
16420000 1.62007
16425000 1.84932
16430000 1.96393
16435000 1.97122
16440000 1.86608
16445000 2.25883
16450000 2.23244
16455000 2.25111
16460000 2.23398
16465000 1.89602
16470000 1.69293
16475000 2.16519
16480000 1.92278
16485000 1.89466
16490000 2.17
16495000 2.01204
16500000 1.88059
16505000 1.7487
16510000 1.62786
16515000 1.78185
16520000 1.97206
16525000 1.85274
16530000 2.0312
16535000 2.2429
16540000 1.60609
16545000 2.33753
