# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
205000 462.493 -2223.63 1.13142
206000 455.873 -1767.36 1.14909
207000 464.129 781.921 1.15263
208000 464.602 900.088 1.14327
209000 460.74 -1568.71 1.13492
210000 453.741 1279.5 1.15434
211000 457.998 604.857 1.15393
212000 457.136 -2225.81 1.13846
213000 461.376 -1692.11 1.15681
214000 455.52 615.096 1.13785
215000 457.494 -448.415 1.13096
216000 456.078 -796.809 1.1447
217000 458.056 970.057 1.14447
218000 455.279 -1044.81 1.1378
219000 457.251 1616.02 1.14471
220000 453.412 -978.9 1.13474
221000 453.892 -2048.13 1.12596
222000 457.632 746.314 1.14578
223000 462.188 5232.58 1.13494
224000 464.564 678.001 1.1285
225000 458.558 1748.98 1.13885
226000 458.221 -1735.31 1.13021
227000 463.034 774.017 1.14105
228000 452.238 -48.0602 1.13808
229000 454.402 -241.877 1.14002
230000 458.654 1912.22 1.15824
231000 457.974 -963.165 1.14167
232000 469.464 954.638 1.12603
233000 460.079 1936.57 1.14682
234000 447.847 286.808 1.13532
235000 447.947 557.61 1.13795
236000 443.66 -1974.77 1.14787
237000 460.004 -232.22 1.14436
238000 461.015 44.9866 1.14516
239000 460.111 1927.79 1.15091
240000 457.519 -1192.82 1.14726
241000 454.557 -171.882 1.14371
242000 459.547 2506.76 1.15207
243000 453.877 -567.282 1.14497
244000 457.133 -2091.67 1.14099
245000 466.777 496.16 1.1572
246000 454.803 -671.899 1.15739
247000 451.125 -1578.56 1.14142
248000 457.913 -1770.74 1.14436
249000 468.021 2544.03 1.1459
250000 444.786 1039.92 1.13763
251000 447.969 458.213 1.14385
252000 454.953 -905.37 1.14738
253000 451.849 -917.62 1.1529
254000 438.309 -378.949 1.13871
255000 452.91 1932.18 1.15285
256000 454.797 -1366.06 1.14814
257000 450.298 1291.12 1.15219
258000 458.403 -3680.11 1.15606
259000 452.101 997.823 1.15524
260000 440.976 -818.017 1.14532
261000 452.998 762.671 1.14964
262000 461.083 -547.285 1.15459
263000 444.118 -2364.15 1.16556
264000 455.3 -468.563 1.15768
265000 467.878 1709.69 1.13907
266000 458.038 -2319.13 1.13608
267000 448.826 -2012.03 1.14992
268000 429.958 2061.59 1.16749
269000 453.563 421.739 1.14625
270000 452.648 1293.23 1.15553
271000 440.053 980.549 1.16131
272000 452.987 -1324.88 1.15663
273000 444.349 -803.466 1.16666
274000 448.633 -744.985 1.14903
275000 450.46 963.71 1.1566
276000 458.752 897.256 1.16342
277000 445.476 1997.39 1.15855
278000 443.188 -504.979 1.14577
279000 444.692 -737.296 1.14686
280000 451.904 984.086 1.15834
281000 434.237 -197.694 1.15063
282000 438.37 -595.519 1.1409
283000 450.439 1525.38 1.15038
284000 448.945 -999.735 1.16206
285000 446.564 575.355 1.1444
286000 442.926 -761.653 1.1363
287000 460.376 3165.43 1.14937
288000 448.597 2585.94 1.14931
289000 449.209 644.457 1.15899
290000 440.842 -1326.51 1.13747
291000 440.345 1527.18 1.15448
292000 444.709 -1692.58 1.17239
293000 438.823 -1906.81 1.16294
294000 440.556 2351.47 1.15499
295000 432.566 -595.259 1.13089
296000 447.804 181.602 1.15397
297000 460.482 629.076 1.15747
298000 441.251 1034.78 1.15201
299000 439.522 1296.03 1.1453
300000 435.28 -1597.73 1.15805
301000 443.658 -1514.31 1.14669
302000 442.46 -1796.52 1.1353
303000 439.505 975.749 1.15363
304000 436.424 -1229.91 1.15014
305000 436.992 -1133.9 1.14046
306000 443.392 61.0142 1.16153
307000 451.395 -1045.2 1.15138
308000 451.521 -1333.12 1.15346
309000 433.106 1749.54 1.1554
310000 439.054 1924.93 1.14952
311000 437.425 134.402 1.14787
312000 437.424 3635.93 1.15079
313000 436.489 1605.43 1.15933
314000 442.5 -3150.75 1.14966
315000 443.125 -574.354 1.15859
316000 451.992 -285.142 1.15688
317000 448.918 -3369.9 1.15231
318000 441.691 431.554 1.15413
319000 445.403 -2205.58 1.16319
320000 444.98 -1596.22 1.14282
321000 437.787 -991.051 1.14884
322000 438.405 681.14 1.15652
323000 435.842 -349.559 1.14744
324000 436.473 -391.731 1.14901
325000 447.356 283.637 1.16256
326000 430.599 555.139 1.14773
327000 433.616 -2046.18 1.14982
328000 444.747 1306.53 1.15864
329000 448.139 227.714 1.16001
330000 447.325 -1236.39 1.14291
331000 433.236 -673.311 1.16065
332000 437.671 -1472.6 1.15858
333000 442.816 84.3819 1.16034
334000 439.503 1152.26 1.15506
335000 438.887 1470.16 1.15249
336000 434.057 -1132.71 1.15306
337000 430.4 -1150.13 1.17764
338000 428.48 357.304 1.16619
339000 444.257 521.932 1.15952
340000 445.135 -436.111 1.15186
341000 450.049 2759.63 1.15982
342000 426.13 2406.53 1.16982
343000 426.187 402.145 1.16166
344000 439.918 -525.226 1.14507
345000 448.785 1382.13 1.14967
346000 432.824 805.824 1.15399
347000 434.27 1258.84 1.16105
348000 432.046 1305.6 1.16086
349000 437.354 -1672.45 1.15439
350000 435.159 1556.58 1.16034
351000 422.634 -2602.79 1.16459
352000 431.359 564.409 1.14282
353000 437.309 621.33 1.15078
354000 434.161 3974.08 1.17679
355000 429.867 102.128 1.16486
356000 428.141 -717.766 1.15041
357000 431.796 4019.78 1.16187
358000 435.363 -746.053 1.16199
359000 424.952 -2041.71 1.16604
360000 427.404 -2000.01 1.16968
361000 433.663 -3059.05 1.16062
362000 437.947 953.46 1.15042
363000 435.037 -486.604 1.16299
364000 425.878 -1605.25 1.14902
365000 423.432 2491.37 1.14479
366000 427.373 -74.8233 1.1648
367000 428.243 2733.32 1.15373
368000 427.53 -2256.71 1.1511
369000 439.118 85.1414 1.15481
370000 434.007 3026.78 1.15168
371000 422.204 -1366.52 1.14783
372000 429.726 224.498 1.15731
373000 431.12 -381.502 1.15557
374000 436.569 -2252.76 1.16995
375000 422.759 -52.8387 1.17187
376000 424.433 -1314.58 1.13769
377000 416.529 2064.6 1.1735
378000 427.996 -976.545 1.16865
379000 442.531 322.194 1.16239
380000 436.701 -1388.4 1.16878
381000 430.432 -123.695 1.1514
382000 427.779 2332.65 1.1602
383000 427.052 1567.17 1.16557
384000 425.836 -1293.54 1.16616
385000 428.104 0.612904 1.17514
386000 442.021 326.663 1.14074
387000 420.959 1871.76 1.16816
388000 420.231 -827.681 1.16032
