# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
511000 315.325 1144.57 1.20077 39557.5
512000 319.139 -375.98 1.19856 39630.3
513000 320.473 345.607 1.20118 39543.8
514000 316.172 -0.285683 1.19793 39651.2
515000 313.555 -144.393 1.20027 39573.8
516000 311.099 -1071.49 1.20022 39575.4
517000 308.108 1125.68 1.21212 39187
518000 317.134 -1217.9 1.19058 39895.9
519000 311.929 1462.4 1.21535 39082.7
520000 309.297 -392.499 1.19671 39691.7
521000 317.134 -258.694 1.20848 39304.9
522000 308.956 -364.03 1.20096 39551.2
523000 316.325 -1646.42 1.20592 39388.4
524000 319.241 -308.063 1.19372 39791.1
525000 314.553 438.45 1.20643 39371.8
526000 311.94 254.528 1.19908 39613.2
527000 316.999 66.8238 1.18935 39937.3
528000 308.132 1717.89 1.21062 39235.4
529000 314.46 416.672 1.18272 40161.1
530000 324.028 -391.461 1.19818 39642.9
531000 307.144 1741.81 1.20725 39345
532000 310.742 1874.38 1.20734 39342.3
533000 311.455 -2448.25 1.19232 39837.7
534000 312.418 1461.98 1.19375 39789.9
535000 308.364 -99.1317 1.19759 39662.3
536000 311.959 68.3771 1.19969 39593
537000 314.191 189.43 1.20115 39544.9
538000 311.496 -1251.9 1.19612 39711.1
539000 313.33 100.087 1.1923 39838.4
540000 310.44 523.468 1.19543 39734.1
541000 316.843 -207.664 1.19188 39852.3
542000 315.586 2330.06 1.19138 39869.3
543000 313.191 2282.26 1.19125 39873.4
544000 313.352 -424.785 1.1944 39768.4
545000 312.482 1290.18 1.20497 39419.5
546000 311.971 -608.114 1.18484 40089.4
547000 319.35 1055.41 1.20245 39502
548000 312.09 75.8335 1.2011 39546.7
549000 313.708 -331.955 1.19909 39612.8
550000 317.464 467.008 1.19599 39715.4
551000 317.821 200.721 1.19851 39631.9
552000 318.444 2494.1 1.19454 39763.7
553000 319.314 737.55 1.20308 39481.5
554000 303.497 1155.45 1.19812 39644.9
555000 314.337 498.613 1.199 39616
556000 315.815 -1044.68 1.19018 39909.3
557000 320.084 1610.51 1.20154 39532.1
558000 316.575 -1239.84 1.19059 39895.7
559000 316.045 248.268 1.20258 39498
560000 315.922 235.78 1.19897 39616.8
561000 317.61 433.358 1.20402 39450.7
562000 319.011 -3329.32 1.19439 39768.6
563000 313.856 -631.344 1.2031 39480.7
564000 311.695 -1443.77 1.19376 39789.7
565000 308.46 1180.33 1.20765 39332
566000 314.781 1461.55 1.20417 39445.6
567000 306.893 260.061 1.19792 39651.6
568000 310.286 1827.2 1.21112 39219.4
569000 315.442 -1439.9 1.19012 39911.4
570000 313.508 -847.532 1.21019 39249.5
571000 315.868 1257.07 1.19527 39739.4
572000 318.489 441.022 1.20733 39342.3
573000 316.331 -1995.4 1.19744 39667.3
574000 312.194 692.511 1.20233 39505.9
575000 319.979 3069.39 1.21121 39216.4
576000 316.058 -744.771 1.19001 39915.2
577000 319.051 -909.288 1.21021 39248.7
578000 310.018 -401.222 1.19429 39772.1
579000 315 -787.327 1.19912 39612
580000 306.355 -648.414 1.20394 39453.2
581000 312.295 1330.49 1.19939 39602.8
582000 318.304 -1751.35 1.20177 39524.5
583000 318.736 -861.271 1.19823 39641.1
584000 315.657 -2229.48 1.20582 39391.7
585000 316.641 528.521 1.1967 39692
586000 312.987 -386.807 1.21009 39252.7
587000 309.887 675.258 1.20108 39547.1
588000 305.401 -2.7551 1.20939 39275.4
589000 314.791 -92.4404 1.20374 39459.7
590000 316.797 -1191.48 1.2047 39428.2
591000 317.724 1338.63 1.20809 39317.6
592000 312.115 -277.449 1.21108 39220.5
593000 314.087 1733.89 1.205 39418.4
594000 324.911 676.801 1.19756 39663.3
595000 316.348 -52.6369 1.21697 39030.8
596000 314.402 102.02 1.19794 39650.9
597000 306.871 -449.573 1.19206 39846.3
598000 309.722 2051.5 1.20188 39520.8
599000 309.038 727.968 1.18919 39942.7
600000 315.886 125.151 1.20878 39295.1
601000 313.267 933.605 1.19288 39819.1
602000 310.347 -134.203 1.20309 39481.1
603000 315.963 -1290.88 1.19616 39709.8
604000 315.692 2226.14 1.19808 39646.2
605000 319.309 -239.268 1.1983 39638.8
606000 317.932 -179.4 1.19586 39719.7
607000 310.541 1488.66 1.20711 39349.8
608000 314.886 954.333 1.18794 39984.5
609000 312.447 2.69437 1.21343 39144.6
610000 320.536 1814.95 1.20468 39429
611000 322.559 -412.444 1.21057 39237.2
612000 304.821 2566.33 1.19591 39718.1
613000 307.589 -820.036 1.20269 39494.1
614000 312.963 -15.2615 1.19888 39619.6
615000 312.008 -1398.79 1.20695 39354.8
616000 308.1 -203.268 1.20246 39501.9
617000 310.918 1173.36 1.20061 39562.7
618000 313.665 -258.773 1.19896 39617.1
619000 305.431 -1107.86 1.1943 39771.5
620000 327.411 -1661.56 1.20046 39567.5
621000 309.575 1339.52 1.19527 39739.6
622000 312.126 949.574 1.21032 39245.3
623000 300.701 -958.836 1.18661 40029.3
624000 309.802 839.24 1.20638 39373.6
625000 309.893 -279.399 1.19757 39663
626000 316.561 469.911 1.20997 39256.6
627000 318.083 1385.37 1.19769 39659.2
628000 315.022 229.412 1.20123 39542.1
629000 314.08 23.8262 1.20166 39528.2
630000 315.221 -1427.51 1.19359 39795.3
631000 309.483 -1214.81 1.19096 39883.3
632000 313.454 745.038 1.20355 39466
633000 310.131 166.789 1.2066 39366.4
